"Basic","Basic_solved","Hidden","Candidates","Xwing","Solved","Start_overs","Elapsed_time","Max_count","Difficulty_Level","Board"
23,56,0,16,1,81,38,43.90633773803711,100,2,"[[1| 0| 0| 4| 0| 0| 0| 3| 0]| [0| 0| 0| 0| 6| 0| 9| 0| 2]| [0| 0| 0| 1| 0| 7| 0| 0| 4]| [0| 0| 0| 0| 0| 0| 8| 7| 0]| [0| 4| 3| 0| 0| 0| 0| 0| 9]| [0| 2| 0| 0| 0| 5| 4| 0| 1]| [0| 0| 0| 0| 3| 0| 0| 0| 0]| [0| 0| 0| 0| 5| 0| 0| 0| 7]| [0| 6| 7| 0| 0| 4| 0| 0| 0]]"
16,57,15,22,6,81,6,7.2492287158966064,100,2,"[[0| 0| 0| 0| 2| 4| 5| 0| 1]| [0| 0| 0| 0| 0| 0| 0| 0| 0]| [0| 8| 3| 5| 0| 0| 0| 0| 4]| [8| 0| 0| 0| 0| 5| 0| 0| 9]| [0| 0| 0| 1| 0| 0| 0| 5| 3]| [0| 9| 5| 6| 0| 0| 0| 0| 0]| [9| 0| 4| 0| 0| 0| 0| 8| 0]| [0| 0| 0| 0| 6| 0| 0| 0| 0]| [0| 0| 1| 0| 0| 0| 9| 7| 0]]"
11,55,0,2,2,81,37,41.94669246673584,100,2,"[[4| 0| 0| 5| 7| 0| 0| 0| 0]| [0| 0| 0| 0| 0| 3| 1| 0| 0]| [9| 0| 0| 2| 0| 0| 7| 0| 0]| [0| 8| 0| 0| 0| 0| 0| 0| 0]| [0| 0| 4| 7| 8| 5| 0| 0| 0]| [0| 0| 2| 0| 4| 0| 0| 7| 0]| [8| 9| 0| 1| 5| 0| 4| 0| 0]| [0| 0| 0| 0| 0| 0| 6| 0| 0]| [0| 6| 3| 0| 0| 0| 0| 1| 0]]"
12,53,3,13,5,81,32,46.6606879234314,100,2,"[[0| 0| 0| 1| 0| 0| 0| 7| 0]| [0| 5| 0| 0| 7| 0| 0| 4| 0]| [1| 0| 0| 5| 0| 0| 0| 0| 0]| [0| 8| 0| 9| 0| 0| 0| 0| 3]| [4| 0| 0| 2| 0| 0| 9| 1| 0]| [0| 9| 1| 3| 0| 0| 8| 0| 7]| [0| 4| 0| 0| 0| 5| 0| 3| 0]| [3| 0| 0| 0| 0| 0| 0| 0| 0]| [0| 0| 0| 0| 0| 2| 7| 0| 6]]"
19,55,0,13,4,81,2,3.0205705165863037,100,2,"[[0| 0| 0| 7| 0| 0| 0| 0| 0]| [0| 9| 0| 0| 0| 0| 3| 0| 0]| [0| 0| 0| 0| 9| 3| 0| 0| 0]| [0| 4| 2| 0| 5| 0| 0| 0| 0]| [0| 3| 7| 2| 0| 0| 9| 0| 0]| [9| 0| 0| 6| 0| 0| 0| 1| 0]| [0| 0| 9| 0| 1| 0| 0| 3| 0]| [0| 0| 6| 5| 0| 0| 1| 0| 0]| [0| 8| 0| 3| 0| 2| 0| 0| 7]]"
14,54,14,1,0,81,9,10.344871759414673,100,2,"[[6| 1| 0| 3| 0| 4| 0| 0| 0]| [0| 0| 0| 0| 5| 2| 0| 0| 0]| [9| 0| 0| 0| 0| 0| 0| 7| 0]| [0| 0| 4| 5| 0| 9| 0| 0| 1]| [1| 0| 0| 4| 0| 0| 7| 0| 0]| [0| 7| 0| 1| 2| 6| 0| 0| 0]| [0| 0| 0| 0| 0| 0| 0| 6| 0]| [4| 0| 0| 0| 0| 0| 0| 2| 8]| [7| 5| 0| 0| 6| 0| 9| 0| 0]]"
22,53,2,3,10,81,18,21.45383071899414,100,2,"[[0| 0| 0| 2| 0| 0| 0| 6| 8]| [0| 0| 3| 5| 0| 6| 4| 0| 0]| [0| 0| 0| 0| 9| 1| 0| 0| 0]| [6| 7| 0| 0| 3| 0| 0| 0| 9]| [0| 0| 0| 0| 0| 0| 0| 0| 0]| [0| 8| 0| 6| 0| 9| 3| 0| 5]| [0| 0| 1| 0| 0| 4| 0| 0| 7]| [4| 0| 0| 0| 0| 7| 0| 0| 1]| [0| 0| 8| 0| 0| 0| 6| 0| 0]]"
15,53,0,3,3,81,27,31.293606996536255,100,2,"[[0| 9| 0| 0| 0| 0| 0| 0| 5]| [5| 3| 0| 1| 7| 0| 0| 6| 0]| [0| 0| 0| 0| 3| 0| 0| 0| 0]| [0| 0| 8| 7| 0| 0| 0| 2| 0]| [9| 0| 7| 0| 2| 0| 4| 0| 0]| [0| 2| 0| 0| 0| 8| 0| 9| 0]| [0| 7| 0| 6| 0| 0| 5| 4| 2]| [0| 4| 0| 0| 0| 0| 0| 0| 0]| [0| 0| 9| 5| 0| 0| 0| 7| 0]]"
18,56,2,2,1,81,11,13.133836269378662,100,2,"[[0| 0| 5| 7| 0| 0| 0| 2| 0]| [0| 0| 0| 0| 1| 0| 6| 0| 0]| [0| 0| 0| 8| 0| 2| 0| 1| 0]| [7| 0| 0| 0| 6| 4| 0| 0| 0]| [4| 0| 6| 2| 0| 0| 0| 0| 0]| [0| 2| 0| 0| 0| 0| 0| 0| 8]| [0| 9| 0| 3| 7| 0| 0| 0| 0]| [0| 0| 0| 5| 0| 0| 9| 0| 1]| [0| 1| 0| 0| 0| 0| 0| 7| 2]]"
9,54,3,3,4,81,21,23.71420907974243,100,2,"[[0| 0| 9| 0| 4| 0| 2| 0| 0]| [1| 0| 0| 0| 0| 0| 4| 0| 0]| [0| 0| 3| 8| 0| 6| 0| 7| 0]| [7| 6| 2| 0| 0| 0| 0| 3| 5]| [9| 0| 0| 0| 3| 0| 0| 6| 0]| [0| 0| 0| 0| 0| 0| 0| 0| 2]| [0| 0| 1| 4| 0| 0| 0| 5| 0]| [0| 0| 5| 0| 8| 0| 6| 0| 0]| [0| 0| 0| 0| 2| 5| 9| 0| 0]]"
21,56,2,14,7,81,12,15.732413291931152,100,2,"[[0| 0| 0| 0| 0| 6| 0| 0| 0]| [1| 0| 0| 0| 0| 0| 6| 5| 0]| [0| 0| 2| 0| 3| 0| 0| 8| 7]| [0| 3| 0| 0| 0| 0| 8| 2| 0]| [0| 0| 8| 0| 6| 0| 3| 0| 0]| [5| 0| 0| 0| 0| 4| 0| 0| 0]| [0| 8| 0| 0| 4| 0| 0| 6| 0]| [6| 0| 0| 0| 1| 0| 0| 7| 0]| [0| 9| 0| 0| 0| 0| 5| 0| 4]]"
14,46,0,2,5,81,94,132.22669339179993,100,2,"[[0| 1| 0| 0| 0| 3| 7| 9| 5]| [0| 0| 0| 0| 8| 0| 0| 6| 0]| [0| 5| 0| 0| 1| 6| 0| 3| 0]| [0| 9| 5| 0| 0| 8| 6| 2| 3]| [0| 4| 8| 0| 0| 9| 0| 0| 0]| [0| 0| 0| 2| 0| 0| 0| 0| 9]| [3| 0| 4| 0| 0| 0| 5| 1| 0]| [5| 0| 1| 6| 3| 0| 9| 0| 0]| [0| 0| 0| 0| 0| 0| 0| 4| 2]]"
16,55,13,2,0,81,5,7.67645001411438,100,2,"[[0| 0| 3| 7| 0| 0| 0| 0| 6]| [6| 0| 0| 5| 0| 0| 0| 0| 0]| [0| 0| 0| 0| 0| 0| 9| 0| 0]| [4| 0| 0| 0| 0| 0| 5| 6| 1]| [0| 5| 0| 0| 0| 0| 0| 0| 9]| [0| 0| 1| 0| 5| 2| 0| 8| 0]| [0| 0| 0| 0| 9| 0| 0| 0| 0]| [1| 0| 0| 0| 2| 0| 0| 0| 7]| [2| 0| 0| 4| 3| 5| 0| 1| 0]]"
20,48,0,1,6,81,11,15.139832019805908,100,2,"[[1| 0| 9| 6| 0| 0| 0| 5| 7]| [0| 8| 0| 0| 9| 0| 0| 0| 6]| [0| 0| 7| 0| 0| 0| 8| 0| 0]| [0| 0| 0| 0| 0| 0| 0| 7| 9]| [5| 0| 0| 8| 7| 9| 6| 0| 0]| [7| 9| 6| 3| 0| 2| 0| 0| 0]| [6| 0| 0| 2| 0| 8| 0| 0| 0]| [9| 0| 3| 5| 4| 7| 0| 6| 0]| [8| 0| 0| 0| 6| 0| 0| 0| 0]]"
13,56,29,2,0,81,3,4.382636070251465,100,2,"[[0| 0| 6| 0| 0| 4| 0| 0| 0]| [0| 0| 0| 3| 7| 2| 0| 0| 0]| [0| 5| 9| 0| 0| 0| 0| 0| 0]| [0| 8| 2| 0| 0| 9| 0| 3| 1]| [0| 6| 0| 0| 0| 0| 0| 0| 2]| [0| 0| 0| 7| 0| 3| 4| 0| 0]| [9| 0| 3| 4| 1| 0| 6| 0| 0]| [0| 0| 0| 0| 0| 0| 0| 0| 7]| [0| 0| 4| 0| 0| 0| 0| 0| 3]]"
13,51,3,13,0,81,91,104.6983118057251,100,2,"[[0| 0| 1| 0| 0| 0| 0| 0| 0]| [0| 0| 6| 0| 9| 2| 0| 0| 3]| [0| 0| 0| 0| 0| 0| 7| 6| 0]| [0| 3| 0| 0| 0| 7| 0| 0| 0]| [0| 8| 7| 0| 0| 4| 0| 0| 5]| [6| 0| 0| 0| 0| 9| 2| 0| 0]| [0| 6| 0| 0| 7| 5| 3| 4| 0]| [0| 9| 0| 0| 8| 0| 0| 2| 6]| [5| 1| 0| 0| 2| 6| 0| 0| 7]]"
27,56,0,3,3,81,7,8.496713161468506,100,2,"[[0| 0| 7| 0| 4| 6| 3| 0| 0]| [0| 0| 0| 5| 0| 0| 2| 0| 0]| [3| 0| 4| 0| 0| 0| 0| 5| 0]| [0| 0| 0| 0| 2| 0| 4| 3| 0]| [0| 9| 0| 0| 0| 0| 5| 0| 0]| [1| 0| 0| 0| 0| 5| 6| 2| 0]| [5| 0| 0| 1| 0| 3| 0| 0| 0]| [0| 0| 0| 4| 0| 0| 0| 0| 0]| [0| 3| 0| 0| 0| 9| 8| 0| 0]]"
18,55,0,2,5,81,55,61.29697060585022,100,2,"[[0| 1| 7| 9| 0| 0| 0| 3| 0]| [0| 0| 6| 0| 0| 0| 0| 0| 0]| [0| 0| 8| 0| 7| 0| 0| 6| 9]| [0| 7| 0| 0| 0| 9| 0| 0| 0]| [1| 2| 0| 0| 0| 7| 5| 0| 0]| [0| 0| 0| 0| 0| 0| 3| 2| 0]| [0| 6| 1| 0| 0| 4| 0| 0| 5]| [0| 0| 0| 8| 0| 0| 0| 4| 0]| [3| 0| 0| 0| 5| 1| 0| 0| 0]]"
18,55,2,2,3,81,6,7.336347341537476,100,2,"[[2| 0| 0| 0| 0| 0| 0| 0| 7]| [8| 0| 0| 0| 6| 0| 5| 0| 0]| [0| 0| 5| 7| 0| 1| 0| 4| 0]| [3| 0| 0| 0| 0| 6| 2| 0| 0]| [0| 7| 0| 2| 0| 0| 0| 1| 0]| [0| 0| 0| 0| 0| 8| 0| 9| 0]| [7| 4| 3| 0| 0| 0| 0| 0| 5]| [0| 0| 8| 0| 0| 0| 0| 0| 3]| [0| 0| 0| 0| 2| 0| 0| 7| 0]]"
19,59,3,3,3,81,98,113.43258309364319,100,2,"[[7| 9| 0| 0| 0| 0| 0| 4| 0]| [0| 0| 5| 1| 0| 0| 0| 0| 0]| [4| 0| 0| 0| 9| 0| 8| 0| 0]| [3| 0| 2| 0| 7| 0| 0| 0| 0]| [0| 6| 0| 0| 0| 0| 5| 0| 0]| [0| 0| 0| 0| 0| 2| 9| 0| 0]| [0| 0| 4| 0| 0| 0| 0| 0| 0]| [0| 0| 7| 0| 3| 5| 0| 0| 0]| [0| 0| 0| 0| 1| 0| 3| 0| 8]]"
14,57,3,3,4,81,12,14.66111946105957,100,2,"[[0| 0| 0| 0| 4| 6| 0| 0| 9]| [1| 4| 0| 0| 2| 9| 0| 0| 0]| [0| 2| 0| 0| 0| 0| 0| 5| 0]| [8| 0| 3| 0| 0| 0| 0| 0| 0]| [0| 0| 0| 0| 0| 7| 0| 3| 0]| [0| 0| 2| 0| 0| 3| 5| 4| 0]| [0| 0| 4| 3| 0| 0| 0| 0| 0]| [9| 0| 0| 0| 0| 1| 0| 0| 6]| [0| 0| 8| 0| 0| 0| 0| 0| 0]]"
20,52,3,13,1,81,27,30.35328698158264,100,2,"[[0| 0| 1| 0| 0| 0| 0| 0| 0]| [9| 0| 0| 0| 3| 4| 0| 0| 0]| [0| 3| 4| 7| 2| 0| 0| 0| 1]| [0| 0| 9| 0| 0| 2| 3| 0| 0]| [6| 0| 8| 0| 9| 0| 2| 5| 0]| [3| 4| 0| 0| 0| 0| 0| 8| 0]| [0| 0| 0| 0| 5| 0| 0| 0| 0]| [1| 0| 0| 0| 0| 3| 0| 0| 8]| [2| 0| 3| 6| 0| 0| 1| 0| 5]]"
14,57,21,2,0,81,34,38.12205386161804,100,2,"[[0| 0| 0| 0| 0| 2| 9| 0| 5]| [0| 8| 0| 0| 0| 4| 0| 0| 0]| [0| 0| 0| 1| 7| 0| 0| 0| 0]| [0| 9| 0| 0| 0| 5| 0| 4| 0]| [4| 0| 0| 0| 9| 0| 0| 5| 7]| [0| 5| 6| 7| 0| 3| 0| 0| 0]| [0| 1| 7| 0| 0| 0| 0| 0| 0]| [0| 0| 0| 8| 0| 0| 0| 2| 0]| [0| 0| 9| 0| 0| 0| 0| 8| 0]]"
20,52,0,2,4,81,10,11.74399185180664,100,2,"[[9| 0| 0| 1| 0| 5| 8| 0| 4]| [4| 0| 0| 2| 0| 0| 0| 0| 0]| [0| 7| 0| 6| 4| 9| 0| 5| 0]| [3| 0| 5| 0| 0| 0| 0| 4| 2]| [0| 0| 1| 0| 2| 0| 0| 0| 0]| [2| 0| 0| 5| 0| 6| 0| 0| 0]| [0| 0| 0| 0| 0| 0| 0| 7| 0]| [7| 0| 0| 8| 6| 0| 0| 0| 0]| [0| 1| 0| 4| 0| 0| 0| 3| 8]]"
14,45,3,0,5,81,0,0.4674711227416992,100,2,"[[0| 9| 0| 0| 0| 0| 2| 0| 3]| [8| 5| 0| 0| 0| 0| 0| 0| 1]| [1| 6| 0| 0| 3| 0| 0| 0| 0]| [0| 8| 1| 3| 0| 5| 6| 0| 2]| [6| 3| 4| 0| 2| 0| 8| 0| 0]| [7| 0| 0| 6| 0| 4| 0| 1| 0]| [5| 0| 6| 0| 1| 0| 7| 0| 0]| [0| 0| 0| 0| 0| 0| 0| 0| 0]| [3| 1| 0| 0| 0| 0| 0| 0| 5]]"
19,56,2,3,2,81,21,61.06819701194763,200,2,"[[3| 7| 0| 0| 0| 2| 0| 6| 9]| [1| 0| 0| 0| 0| 0| 5| 0| 2]| [0| 0| 0| 8| 0| 0| 0| 0| 0]| [0| 9| 0| 0| 0| 0| 6| 0| 0]| [0| 0| 0| 0| 9| 0| 3| 0| 0]| [4| 6| 2| 3| 5| 0| 0| 0| 0]| [0| 0| 0| 6| 0| 0| 0| 3| 0]| [0| 0| 4| 2| 0| 0| 0| 0| 5]| [0| 5| 0| 0| 0| 0| 0| 1| 0]]"
5,54,13,2,1,81,17,49.51270413398743,200,2,"[[8| 5| 0| 0| 0| 7| 1| 9| 0]| [1| 0| 0| 0| 0| 0| 0| 0| 0]| [0| 0| 3| 0| 0| 1| 4| 2| 0]| [0| 0| 5| 0| 0| 0| 0| 1| 3]| [0| 0| 0| 0| 8| 0| 0| 0| 0]| [0| 0| 0| 6| 0| 5| 0| 4| 0]| [0| 7| 0| 0| 0| 0| 3| 6| 0]| [0| 0| 6| 0| 2| 0| 0| 0| 0]| [4| 3| 1| 0| 5| 0| 0| 0| 0]]"
21,58,0,14,8,81,30,91.78154873847961,200,2,"[[0| 9| 0| 0| 0| 0| 0| 0| 0]| [2| 0| 0| 0| 0| 0| 6| 0| 3]| [0| 0| 3| 0| 0| 0| 0| 2| 0]| [1| 0| 0| 0| 0| 0| 4| 0| 0]| [8| 0| 0| 4| 2| 0| 0| 0| 0]| [7| 0| 0| 0| 6| 0| 0| 0| 0]| [0| 0| 0| 0| 0| 0| 0| 0| 0]| [3| 2| 0| 0| 1| 7| 0| 0| 8]| [6| 0| 0| 0| 8| 3| 5| 0| 0]]"
13,43,0,1,2,81,49,240.58766794204712,200,2,"[[0| 8| 0| 0| 0| 6| 2| 0| 0]| [0| 0| 2| 0| 0| 3| 1| 0| 0]| [5| 0| 3| 2| 4| 0| 8| 6| 0]| [7| 0| 8| 3| 0| 0| 0| 0| 6]| [0| 0| 4| 0| 0| 8| 0| 9| 0]| [0| 0| 0| 0| 0| 0| 7| 0| 5]| [0| 4| 0| 0| 2| 7| 6| 0| 0]| [0| 3| 7| 6| 1| 0| 9| 2| 4]| [0| 0| 0| 9| 0| 0| 0| 7| 0]]"
17,58,18,20,5,81,3,18.83944272994995,200,2,"[[0| 0| 0| 0| 0| 0| 6| 9| 0]| [0| 0| 0| 0| 8| 0| 7| 0| 0]| [0| 0| 0| 0| 0| 0| 0| 0| 1]| [2| 9| 0| 0| 0| 5| 0| 0| 3]| [5| 0| 7| 0| 6| 4| 0| 0| 0]| [0| 3| 0| 0| 0| 0| 0| 0| 5]| [0| 1| 9| 0| 0| 6| 0| 0| 0]| [0| 7| 0| 0| 0| 2| 0| 0| 0]| [0| 0| 4| 0| 9| 0| 0| 0| 0]]"
12,57,18,13,0,81,31,167.02390432357788,200,2,"[[0| 4| 0| 2| 0| 9| 0| 6| 7]| [0| 0| 6| 0| 7| 1| 0| 0| 0]| [0| 0| 0| 0| 0| 0| 0| 0| 0]| [0| 6| 1| 5| 0| 0| 9| 0| 4]| [0| 0| 0| 0| 0| 0| 0| 0| 0]| [3| 0| 8| 0| 0| 0| 0| 0| 1]| [0| 3| 0| 9| 0| 0| 0| 7| 0]| [0| 0| 0| 0| 0| 6| 8| 0| 0]| [0| 5| 0| 0| 0| 0| 0| 1| 3]]"
10,56,3,0,8,81,26,100.77087903022766,200,2,"[[0| 0| 0| 0| 8| 9| 0| 7| 0]| [0| 4| 0| 0| 0| 1| 9| 0| 0]| [0| 0| 1| 0| 0| 0| 0| 0| 4]| [5| 0| 0| 0| 0| 8| 3| 0| 0]| [3| 0| 0| 9| 0| 5| 0| 0| 8]| [0| 7| 2| 0| 0| 3| 0| 6| 0]| [6| 0| 0| 5| 0| 0| 0| 0| 0]| [0| 9| 0| 0| 0| 0| 0| 0| 0]| [0| 3| 0| 0| 0| 0| 2| 0| 0]]"
24,54,0,2,1,81,15,2177.143101453781,200,2,"[[8| 0| 0| 9| 0| 0| 0| 0| 3]| [0| 5| 0| 6| 0| 0| 0| 0| 0]| [0| 7| 0| 0| 2| 8| 5| 0| 4]| [0| 0| 8| 0| 0| 0| 0| 0| 0]| [5| 0| 7| 0| 0| 2| 0| 0| 0]| [0| 0| 0| 8| 0| 1| 9| 0| 6]| [0| 0| 2| 4| 0| 0| 0| 0| 9]| [0| 0| 5| 0| 0| 0| 0| 8| 2]| [0| 0| 0| 0| 9| 0| 3| 0| 0]]"
11,50,3,2,4,81,22,145.9374611377716,200,2,"[[0| 6| 2| 0| 0| 0| 0| 0| 0]| [4| 9| 0| 3| 0| 0| 6| 1| 2]| [0| 8| 0| 6| 0| 0| 0| 4| 0]| [0| 1| 0| 8| 0| 0| 0| 0| 9]| [0| 5| 9| 0| 3| 0| 0| 8| 0]| [0| 0| 0| 7| 1| 0| 0| 5| 0]| [1| 7| 0| 4| 0| 0| 8| 9| 0]| [6| 0| 0| 0| 0| 0| 0| 0| 0]| [9| 0| 0| 1| 0| 0| 4| 0| 0]]"
17,56,0,2,4,81,4,32.91493606567383,200,2,"[[0| 0| 3| 9| 0| 0| 0| 7| 0]| [0| 2| 0| 6| 0| 0| 0| 0| 0]| [6| 0| 0| 0| 0| 0| 4| 0| 0]| [0| 0| 0| 0| 3| 0| 0| 8| 4]| [1| 0| 0| 0| 0| 9| 0| 0| 0]| [0| 3| 8| 7| 0| 0| 0| 9| 0]| [0| 0| 0| 0| 0| 5| 0| 0| 0]| [0| 0| 1| 0| 0| 4| 0| 0| 3]| [0| 0| 2| 0| 9| 1| 0| 0| 8]]"
10,55,3,13,6,81,4,30.357478380203247,200,2,"[[0| 8| 3| 1| 2| 0| 9| 0| 0]| [0| 0| 0| 0| 4| 0| 0| 0| 0]| [0| 4| 0| 0| 0| 0| 0| 0| 7]| [0| 3| 0| 9| 6| 1| 2| 5| 0]| [0| 0| 1| 0| 0| 0| 0| 0| 0]| [0| 0| 6| 0| 3| 0| 0| 7| 0]| [0| 0| 9| 8| 0| 0| 1| 0| 0]| [6| 0| 0| 5| 0| 0| 0| 0| 0]| [0| 0| 8| 0| 1| 0| 0| 0| 0]]"
21,50,3,3,1,81,4,28.250286102294922,200,2,"[[7| 0| 2| 0| 0| 0| 0| 0| 5]| [0| 1| 0| 0| 0| 0| 0| 0| 0]| [0| 0| 6| 0| 1| 9| 8| 0| 0]| [0| 3| 5| 0| 2| 7| 0| 6| 0]| [0| 0| 0| 1| 0| 6| 0| 3| 0]| [6| 2| 4| 0| 5| 0| 0| 0| 0]| [5| 0| 0| 4| 0| 0| 0| 1| 6]| [9| 0| 0| 0| 8| 0| 0| 0| 0]| [0| 4| 0| 6| 0| 0| 0| 0| 9]]"
21,52,0,0,6,81,21,147.971355676651,200,2,"[[0| 0| 3| 5| 0| 0| 8| 1| 2]| [1| 0| 6| 0| 0| 0| 4| 0| 7]| [0| 0| 0| 0| 4| 0| 0| 0| 5]| [0| 0| 0| 0| 0| 0| 0| 8| 6]| [0| 4| 2| 0| 0| 0| 0| 0| 0]| [3| 0| 0| 2| 5| 0| 0| 0| 0]| [0| 1| 0| 0| 0| 3| 0| 0| 9]| [8| 0| 9| 0| 0| 4| 5| 0| 1]| [0| 0| 0| 1| 0| 0| 0| 0| 0]]"
