"Basic","Hidden","Candidates","Xwing","Solved","Start_overs","Elapsed_time","Max_count","Difficulty_Level","Board"
10,1,2,1,81,6,31.606634378433228,250,2,"[[0| 5| 0| 7| 0| 9| 0| 0| 8]| [0| 0| 0| 6| 0| 2| 0| 0| 0]| [0| 3| 0| 8| 0| 0| 0| 9| 0]| [0| 0| 0| 0| 5| 0| 0| 0| 0]| [0| 2| 0| 3| 8| 6| 7| 4| 1]| [0| 6| 4| 1| 0| 0| 0| 0| 0]| [0| 0| 3| 0| 7| 0| 2| 0| 0]| [0| 7| 2| 4| 6| 0| 0| 0| 0]| [0| 1| 0| 0| 0| 3| 4| 5| 0]]"
20,4,2,2,81,22,105.13300061225891,250,2,"[[0| 0| 0| 1| 0| 4| 2| 0| 0]| [2| 8| 0| 5| 7| 0| 0| 4| 0]| [0| 1| 0| 0| 3| 8| 0| 0| 0]| [6| 0| 7| 9| 0| 0| 0| 0| 0]| [0| 0| 0| 0| 0| 0| 5| 0| 2]| [0| 9| 0| 0| 0| 3| 0| 0| 0]| [7| 0| 0| 0| 2| 0| 0| 0| 0]| [0| 0| 8| 0| 0| 0| 6| 2| 0]| [0| 0| 0| 0| 0| 1| 8| 0| 3]]"
12,16,1,0,81,6,24.84583330154419,250,2,"[[9| 7| 0| 1| 0| 0| 0| 0| 3]| [1| 0| 0| 9| 0| 0| 5| 2| 0]| [0| 0| 0| 0| 4| 0| 0| 0| 0]| [6| 2| 0| 0| 0| 0| 0| 0| 0]| [0| 0| 0| 0| 9| 0| 3| 0| 0]| [0| 0| 0| 4| 0| 7| 9| 0| 0]| [5| 8| 0| 7| 0| 0| 1| 0| 0]| [0| 1| 0| 3| 6| 0| 0| 7| 0]| [0| 0| 0| 0| 0| 0| 0| 3| 0]]"
12,13,3,0,81,10,42.585577964782715,250,2,"[[0| 0| 0| 0| 0| 0| 0| 0| 0]| [6| 0| 1| 0| 5| 0| 0| 0| 4]| [8| 9| 0| 2| 0| 1| 5| 0| 3]| [1| 0| 0| 0| 0| 5| 9| 8| 0]| [0| 0| 7| 0| 0| 9| 3| 0| 0]| [0| 5| 0| 6| 0| 0| 0| 2| 0]| [0| 0| 0| 5| 0| 0| 6| 1| 0]| [0| 0| 0| 0| 0| 0| 0| 3| 5]| [0| 0| 5| 9| 0| 7| 0| 0| 0]]"
20,0,3,2,81,0,0.5738434791564941,250,2,"[[0| 0| 6| 1| 4| 7| 0| 0| 5]| [0| 0| 0| 0| 0| 3| 0| 2| 0]| [7| 0| 0| 8| 0| 0| 0| 6| 0]| [0| 0| 0| 0| 0| 6| 9| 0| 7]| [0| 0| 4| 0| 0| 0| 0| 0| 6]| [3| 0| 0| 0| 7| 5| 0| 0| 0]| [0| 0| 9| 0| 0| 4| 0| 0| 8]| [0| 0| 5| 0| 3| 0| 4| 7| 0]| [0| 0| 7| 0| 0| 0| 0| 0| 0]]"
13,13,1,0,81,13,57.509989738464355,250,2,"[[2| 5| 0| 0| 0| 3| 9| 0| 4]| [0| 7| 3| 0| 6| 0| 0| 0| 0]| [0| 0| 1| 0| 0| 4| 7| 0| 0]| [6| 0| 4| 1| 0| 0| 0| 0| 0]| [0| 3| 0| 6| 0| 7| 1| 0| 0]| [0| 0| 0| 0| 3| 0| 0| 5| 0]| [0| 4| 7| 0| 0| 0| 0| 0| 0]| [0| 0| 0| 5| 0| 8| 0| 0| 0]| [8| 0| 0| 0| 2| 0| 0| 0| 0]]"
16,9,3,4,81,15,67.26971864700317,250,2,"[[0| 1| 4| 0| 0| 0| 0| 0| 5]| [7| 0| 0| 0| 0| 0| 0| 6| 0]| [8| 0| 2| 0| 0| 0| 3| 7| 9]| [0| 0| 8| 0| 0| 0| 0| 3| 2]| [3| 0| 0| 0| 0| 0| 0| 9| 0]| [0| 4| 0| 8| 6| 0| 0| 0| 0]| [0| 0| 0| 2| 8| 0| 0| 0| 0]| [0| 0| 0| 0| 4| 0| 7| 0| 0]| [0| 2| 0| 1| 7| 6| 0| 0| 0]]"
11,8,2,1,81,26,114.20424580574036,250,2,"[[0| 0| 3| 0| 0| 7| 8| 0| 0]| [0| 0| 5| 4| 0| 9| 0| 0| 0]| [1| 0| 0| 0| 0| 0| 0| 0| 4]| [0| 0| 7| 8| 0| 0| 2| 4| 0]| [0| 0| 0| 9| 3| 0| 0| 0| 5]| [0| 2| 0| 0| 0| 0| 1| 0| 0]| [0| 7| 0| 3| 0| 4| 0| 0| 6]| [5| 0| 0| 1| 0| 0| 9| 8| 0]| [0| 0| 6| 0| 0| 0| 0| 0| 0]]"
12,4,2,1,81,3,14.137775421142578,250,2,"[[0| 0| 0| 0| 1| 7| 0| 0| 0]| [0| 0| 0| 4| 0| 9| 6| 0| 0]| [0| 0| 9| 0| 0| 0| 0| 0| 1]| [8| 0| 1| 0| 0| 0| 4| 0| 5]| [0| 2| 0| 1| 0| 8| 0| 0| 6]| [0| 5| 0| 0| 0| 0| 0| 0| 7]| [4| 0| 0| 5| 0| 0| 0| 0| 0]| [0| 0| 8| 7| 0| 3| 0| 0| 0]| [0| 0| 6| 0| 4| 0| 0| 7| 0]]"
19,0,1,4,81,8,33.51463174819946,250,2,"[[0| 0| 0| 0| 1| 9| 3| 0| 8]| [5| 0| 0| 0| 0| 0| 0| 0| 0]| [0| 0| 9| 2| 0| 7| 0| 0| 5]| [0| 0| 0| 0| 0| 4| 0| 3| 0]| [4| 0| 0| 0| 9| 0| 0| 0| 0]| [0| 0| 5| 3| 0| 0| 0| 0| 2]| [0| 5| 3| 0| 2| 0| 0| 0| 0]| [6| 8| 2| 0| 0| 1| 5| 0| 0]| [0| 9| 0| 0| 0| 0| 0| 0| 7]]"
18,7,3,2,81,6,24.444315195083618,250,2,"[[0| 0| 0| 0| 0| 6| 0| 0| 0]| [9| 5| 0| 4| 0| 0| 0| 0| 0]| [3| 0| 0| 0| 2| 0| 0| 0| 9]| [7| 0| 0| 0| 1| 0| 3| 0| 0]| [0| 9| 0| 0| 6| 0| 0| 8| 0]| [5| 8| 1| 0| 0| 0| 0| 0| 0]| [6| 0| 0| 0| 0| 0| 2| 9| 3]| [0| 0| 0| 0| 0| 0| 0| 0| 0]| [8| 0| 9| 5| 3| 4| 0| 0| 0]]"
15,3,2,2,81,8,34.86170530319214,250,2,"[[0| 0| 0| 0| 0| 6| 7| 0| 0]| [5| 0| 0| 0| 2| 0| 0| 1| 0]| [0| 0| 7| 0| 9| 0| 0| 0| 3]| [0| 0| 0| 0| 8| 0| 3| 0| 0]| [3| 2| 0| 0| 0| 9| 0| 0| 0]| [7| 0| 0| 4| 0| 0| 0| 0| 2]| [0| 5| 0| 0| 0| 4| 6| 0| 0]| [0| 0| 0| 0| 0| 0| 1| 0| 0]| [6| 0| 0| 0| 1| 7| 0| 8| 9]]"
11,10,1,0,81,9,40.13802528381348,250,2,"[[0| 6| 0| 0| 0| 7| 0| 9| 0]| [0| 1| 0| 6| 0| 9| 0| 8| 0]| [0| 0| 0| 2| 0| 0| 0| 3| 5]| [9| 2| 0| 0| 0| 0| 0| 0| 0]| [0| 0| 6| 0| 0| 8| 0| 0| 2]| [8| 0| 0| 1| 0| 0| 0| 7| 0]| [1| 0| 0| 0| 0| 0| 0| 0| 0]| [0| 0| 0| 4| 9| 0| 5| 6| 0]| [6| 0| 0| 0| 0| 0| 0| 2| 7]]"
11,5,1,2,81,9,38.25727391242981,250,2,"[[0| 5| 0| 0| 7| 0| 0| 4| 2]| [4| 0| 0| 0| 0| 0| 0| 0| 0]| [0| 0| 0| 4| 0| 2| 0| 3| 5]| [0| 0| 0| 2| 3| 1| 0| 6| 8]| [6| 1| 0| 0| 4| 0| 2| 0| 0]| [0| 0| 0| 0| 0| 5| 1| 0| 0]| [0| 8| 0| 0| 2| 0| 0| 0| 6]| [9| 7| 0| 0| 1| 3| 0| 0| 4]| [0| 0| 0| 6| 0| 7| 3| 0| 0]]"
21,8,2,4,81,11,46.96329951286316,250,2,"[[0| 0| 8| 5| 0| 1| 7| 0| 0]| [0| 3| 7| 4| 0| 0| 6| 0| 0]| [0| 0| 0| 0| 0| 0| 0| 0| 0]| [0| 0| 3| 0| 8| 0| 0| 0| 0]| [0| 6| 1| 0| 0| 0| 0| 8| 0]| [0| 4| 0| 0| 0| 0| 0| 7| 0]| [1| 0| 0| 7| 0| 0| 0| 0| 8]| [2| 0| 0| 1| 4| 0| 0| 0| 0]| [0| 0| 9| 0| 0| 0| 5| 0| 0]]"
23,4,3,2,81,14,57.50435400009155,250,2,"[[0| 1| 0| 0| 0| 4| 9| 6| 0]| [3| 0| 0| 1| 0| 0| 0| 0| 0]| [0| 4| 6| 0| 0| 3| 0| 0| 1]| [0| 7| 0| 0| 0| 1| 0| 0| 4]| [0| 0| 0| 5| 0| 0| 0| 0| 0]| [6| 0| 3| 0| 9| 0| 0| 0| 0]| [5| 0| 0| 6| 0| 0| 0| 9| 0]| [2| 0| 0| 0| 8| 0| 7| 0| 0]| [4| 0| 7| 0| 0| 0| 0| 0| 0]]"
12,7,0,3,81,2,8.337122917175293,250,2,"[[5| 0| 0| 0| 8| 0| 0| 9| 0]| [0| 0| 0| 0| 0| 0| 2| 0| 1]| [0| 1| 0| 0| 0| 9| 0| 5| 3]| [0| 0| 3| 0| 6| 0| 5| 0| 0]| [7| 0| 0| 4| 9| 0| 1| 8| 0]| [0| 0| 1| 7| 0| 5| 0| 0| 0]| [3| 0| 8| 0| 0| 0| 0| 2| 6]| [0| 0| 0| 0| 3| 0| 0| 0| 0]| [0| 9| 0| 0| 0| 7| 0| 0| 0]]"
14,9,1,0,81,3,12.634626865386963,250,2,"[[0| 0| 0| 0| 0| 0| 0| 9| 0]| [0| 0| 5| 0| 0| 8| 6| 0| 1]| [8| 4| 0| 0| 3| 0| 0| 2| 0]| [0| 0| 0| 0| 0| 9| 0| 7| 0]| [0| 0| 0| 0| 7| 0| 0| 4| 0]| [0| 2| 0| 1| 5| 0| 0| 0| 0]| [0| 0| 0| 8| 4| 0| 0| 0| 0]| [0| 0| 6| 2| 0| 0| 0| 0| 0]| [1| 0| 0| 0| 0| 0| 8| 0| 2]]"
14,7,3,2,81,12,50.90024185180664,250,2,"[[0| 0| 8| 0| 9| 3| 4| 7| 5]| [5| 0| 0| 0| 0| 0| 0| 1| 0]| [0| 1| 0| 0| 0| 0| 0| 3| 0]| [0| 0| 0| 0| 6| 0| 0| 9| 0]| [1| 0| 2| 8| 7| 0| 0| 0| 0]| [0| 9| 0| 0| 5| 0| 0| 0| 0]| [9| 0| 0| 6| 8| 0| 0| 0| 3]| [0| 0| 0| 0| 0| 0| 0| 6| 0]| [0| 3| 7| 0| 0| 0| 2| 8| 0]]"
14,8,0,0,81,14,60.34762001037598,250,2,"[[0| 0| 0| 0| 0| 4| 1| 0| 0]| [0| 0| 0| 8| 5| 0| 0| 0| 0]| [0| 5| 0| 2| 1| 0| 8| 0| 0]| [9| 0| 4| 0| 0| 6| 0| 0| 8]| [0| 7| 0| 4| 0| 0| 9| 6| 0]| [8| 0| 0| 0| 0| 0| 0| 0| 3]| [3| 0| 0| 0| 2| 0| 6| 0| 0]| [2| 0| 6| 0| 7| 8| 3| 0| 4]| [0| 0| 0| 6| 0| 0| 0| 0| 2]]"
19,11,2,4,81,1,5.02881646156311,250,2,"[[9| 1| 3| 0| 4| 0| 7| 5| 0]| [0| 4| 0| 0| 0| 0| 0| 0| 0]| [8| 0| 0| 0| 0| 0| 0| 0| 0]| [0| 0| 0| 0| 1| 0| 0| 4| 0]| [4| 3| 6| 7| 9| 2| 0| 0| 0]| [7| 0| 0| 8| 0| 0| 0| 0| 9]| [0| 0| 0| 0| 0| 0| 9| 0| 0]| [0| 0| 0| 0| 0| 8| 0| 0| 0]| [0| 0| 0| 1| 0| 0| 3| 6| 0]]"
13,5,3,3,81,4,16.000787019729614,250,2,"[[6| 1| 0| 0| 0| 9| 0| 0| 0]| [0| 0| 5| 0| 4| 6| 0| 0| 0]| [7| 0| 0| 1| 3| 0| 0| 2| 0]| [0| 7| 4| 0| 0| 0| 0| 0| 1]| [8| 6| 1| 0| 0| 5| 0| 3| 0]| [0| 0| 0| 0| 0| 0| 0| 0| 0]| [0| 0| 8| 0| 5| 0| 0| 0| 7]| [0| 0| 0| 8| 0| 0| 9| 0| 2]| [0| 0| 0| 0| 0| 1| 5| 0| 0]]"
16,3,0,13,81,22,125.79872989654541,250,2,"[[0| 9| 0| 0| 7| 0| 6| 0| 5]| [0| 0| 0| 0| 0| 8| 9| 1| 0]| [0| 0| 5| 0| 0| 0| 0| 0| 0]| [3| 0| 0| 0| 4| 9| 0| 0| 0]| [0| 0| 4| 2| 0| 7| 0| 5| 0]| [0| 0| 0| 0| 0| 0| 2| 0| 0]| [9| 0| 0| 0| 8| 6| 0| 7| 4]| [0| 0| 7| 0| 9| 0| 0| 0| 1]| [0| 0| 0| 7| 0| 0| 5| 0| 0]]"
18,0,3,2,81,23,171.0654046535492,250,2,"[[1| 8| 0| 0| 0| 0| 0| 0| 3]| [3| 0| 6| 0| 0| 0| 7| 0| 0]| [0| 0| 0| 0| 0| 8| 0| 0| 0]| [0| 0| 0| 0| 0| 9| 0| 0| 0]| [8| 0| 0| 0| 3| 7| 0| 0| 9]| [0| 0| 2| 0| 0| 0| 0| 0| 0]| [0| 0| 0| 0| 0| 4| 0| 0| 0]| [6| 0| 0| 8| 5| 0| 0| 3| 2]| [2| 5| 0| 0| 7| 0| 0| 0| 8]]"
11,10,1,0,81,6,51.75956964492798,250,2,"[[0| 7| 0| 0| 0| 0| 0| 0| 0]| [0| 0| 0| 0| 3| 0| 1| 0| 0]| [0| 0| 0| 0| 0| 6| 2| 3| 0]| [0| 6| 8| 0| 0| 0| 0| 1| 2]| [1| 0| 0| 2| 7| 0| 0| 5| 0]| [7| 0| 0| 0| 4| 0| 0| 0| 0]| [0| 0| 0| 0| 0| 0| 9| 0| 8]| [0| 0| 6| 5| 0| 0| 0| 0| 0]| [8| 0| 4| 1| 0| 0| 5| 6| 0]]"
